region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,Temprature Change
MEA,Saudi Arabia,48921.23047,45.5,4,5,2.5,27,11,NA,5,NA,31557144,NA,NA,508000,697000,NA,25207,0.964588235
SSF,Senegal,3067.662598,12,2,2,68,5,9,NA,2,NA,15411614,NA,NA,15000,NA,NA,NA,0.851470588
ECS,Serbia,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,6944975,199453,46707848,14388,13475026,NA,32888,2.265882353
SSF,Seychelles,23302.95313,48.5,5.2,4.6,25.8,5.9,9.9,0.2,0.5,NA,88303,NA,NA,1100,NA,NA,NA,0.580941176
SSF,Sierra Leone,1237.630249,NA,NA,NA,NA,NA,NA,NA,NA,NA,5439695,NA,NA,3400,NA,NA,NA,0.894029412
EAS,Singapore,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,5703600,NA,1609300,100000,446870,NA,NA,-0.182382353
LCN,Sint Maarten (Dutch part),NA,46,7,7,12,15,13,NA,NA,NA,37685,NA,NA,NA,NA,NA,NA,#N/A
ECS,Slovak Republic,31965.76172,42,19,2,1,25,11,NA,NA,NA,5454073,920337,4023409,30911,375688,NA,558605,#N/A
ECS,Slovenia,39037.93359,NA,NA,NA,NA,NA,NA,NA,NA,NA,2087946,289773,2071792,26359,155229,NA,227873,2.471529412
EAS,Solomon Islands,2596.452881,42.8,6.65,13.15,3.7,6.45,22.35,4.9,NA,NA,563513,NA,NA,400,NA,NA,273.34,0.562764706
SSF,Somalia,1862.614136,NA,NA,NA,NA,NA,NA,NA,NA,NA,14317996,NA,NA,NA,NA,NA,NA,0.909676471
SSF,South Africa,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,NA,NA,NA,51729344,NA,NA,321000,1319096,NA,NA,0.752029412
SSF,South Sudan,1795.991943,NA,NA,NA,NA,NA,NA,NA,NA,NA,11177490,NA,NA,NA,NA,NA,NA,1.013705882
ECS,Spain,40985.55859,49,8,3,14,15,9,NA,2,NA,47076780,8058640,52155411,1202597,2984518,NA,2990346,0.330941176
SAS,Sri Lanka,12287.47266,62,2,3,13,7,7,NA,6,NA,21203000,NA,65700,72.5,NA,53000,9855,0.722
LCN,St. Kitts and Nevis,25569.35742,27.2,8.1,8.8,12.2,20.5,23.2,NA,NA,NA,54288,NA,NA,700,NA,NA,NA,#N/A
LCN,St. Lucia,14029.98242,45,7,5,11,10,22,NA,NA,NA,177206,NA,NA,1600,2732,NA,49.63,#N/A
LCN,St. Martin (French part),30385.89453,NA,NA,NA,NA,NA,NA,NA,NA,NA,30959,NA,NA,NA,NA,NA,NA,#N/A
LCN,St. Vincent and the Grenadines,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,NA,NA,NA,109455,NA,NA,900,NA,NA,NA,#N/A
SSF,Sudan,4191.823242,51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,38647804,NA,NA,51000,NA,NA,NA,1.038411765
LCN,Suriname,16953.80273,57,3,3,24,NA,11,NA,NA,NA,526103,NA,NA,5000,NA,NA,1270.2,0.831911765
ECS,Sweden,52608.71094,23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,10285453,2205186,152012352,721671,2568154,NA,1315108,0.151588235
ECS,Switzerland,68394.28906,29,4,3,29,20,15,NA,NA,NA,8574832,NA,6390000,184000,1200000,1470000,NA,0.545382353
MEA,Syrian Arab Republic,8587.050781,57,3,4,22,7,7,NA,NA,NA,20824892,NA,NA,NA,68000,NA,4600,0.825470588
