Country Name,Indicator Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,Agricultural land (% of land area),61.3317757,61.91588785,62.46105919,62.5,63.23987539,63.12305296,64.87538941,65.26479751,73.87071651,73.20872274,73.94859813,74.2211838,77.88161994,79.04984424,80.21806854,81.58099688,83.45015576,82.55451713,81.77570093,81.30841121,80.80218069,80.21806854,80.21806854,80.21806854,80.21806854,81.07476636,81.2694704,81.46417445,81.2694704,81.07476636,80.88006231,81.07476636,80.88006231,80.72429907,79.32242991,77.60903427,76.01246106,74.49376947,73.48130841,72.70249221,72.07943925,71.41744548,71.37850467,71.96261682,70.83333333,70.95015576,71.06697819,71.18380062,71.30062305,71.37850467,71.69003115,72.42990654,73.48130841,74.53271028,75.58411215,76.63551402,77.68691589,78.73831776,79.78971963,80.8411215,81.89252336,,
Belgium,Agricultural land (% of land area),35.676307305828196,35.71412071829515,35.86202647126872,35.95832467940969,36.03382189138767,36.1271796881718,36.16045761944053,36.23395498573568,36.28505116707489,36.22354576543172,36.2131956874185,36.3081521670793,36.40901968733921,36.409959073898676,36.351380988110144,36.405042428678414,36.511671995484576,36.6092387234141,36.66138601976212,36.731250519004405,36.79733564327313,36.845718422079294,36.83447451904405,36.977187023731275,37.045419916859025,37.08319639845374,37.17568044784141,37.263316862784144,37.23240737522467,37.165182638259914,36.83101538157575,37.44191663206799,37.55590754731225,37.502919021877474,37.46899779813439,37.472429675901196,37.52734041115019,37.55992149488933,37.61465490280237,45.89167768,45.7992074,45.87516513,45.97754293,45.94782034,45.67371202,45.57463672,45.14200793,45.08916777,45.0330251,44.77212682,44.11162483,43.98943197,44.13804491,43.9663144,43.85733157,44.61030383,43.82430647,44.71598415,44.79599075,45.06635733,45.10138705,,
Benin,Agricultural land (% of land area),12.78822277,12.96559063,13.1429585,13.32032636,13.49769422,13.76374601,14.11848173,14.38453352,15.13834693,15.31571479,15.75913444,16.02518624,16.2025541,16.46860589,16.82334161,17.0893934,17.35544519,17.53281305,17.71018092,17.97623271,18.2422845,18.53494147,18.6236254,18.71230933,18.88967719,19.42178077,19.5104647,19.59914863,19.68783256,20.13125222,20.21993615,20.35296204,20.57467187,21.28414331,22.34835048,24.03334516,25.62965591,27.04859879,27.58070238,28.33451579,28.9553033,29.8421426,30.74671869,30.74671869,30.89748138,29.62043278,29.70911671,31.48279532,32.36963462,32.36963462,32.36963462,33.25647393,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,,
Burkina Faso,Agricultural land (% of land area),29.74780702,29.78435673,29.82090643,29.85745614,29.89400585,29.93421053,29.97076023,30.00730994,30.05116959,30.10233918,30.04385965,30.34356725,30.60307018,30.89546784,31.19883041,31.37792398,31.56067251,31.74342105,31.92616959,32.10891813,32.29166667,32.4744152,32.65716374,32.83991228,33.02266082,33.20540936,33.40643275,34.95614035,35.0877193,34.99634503,34.90497076,34.81359649,34.72222222,34.47002924,34.53947368,34.90497076,36.00146199,36.44005848,36.79093567,37.14546784,37.51096491,37.86915205,38.22368421,38.63669591,39.04605263,39.4371345,39.80628655,40.20285088,40.61403509,41.08918129,41.71418129,42.1747076,42.85453216,43.31140351,43.80847953,44.23245614,44.65277778,45.36915205,45.75657895,46.10380117,46.56432749,,
Bangladesh,Agricultural land (% of land area),72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.0852731,71.27602366,71.59867865,72.47630022,73.11369747,73.45263886,73.95943766,75.83928709,76.26949374,77.34501037,,
Bulgaria,Agricultural land (% of land area),51.27903824,51.38750791,51.45982103,52.17391304,52.36373497,52.44508723,52.99647474,53.15917925,54.43369791,54.32522824,54.3161891,54.43369791,54.07213233,54.57832414,53.82807557,56.02458646,56.09689958,56.14209527,56.09689958,55.87092109,55.85284281,55.87996023,55.83476453,55.78956883,55.76245141,55.735334,55.735334,55.69917744,55.75341228,55.67206002,55.6901383,55.62686432,55.32857272,55.67206002,55.71725572,55.71725572,56.06978216,51.02594233,51.33327307,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.77685722,47.1043182,46.96620937,46.33382461,46.53647752,46.86809138,47.19049374,46.01142225,45.84561533,46.16709654,46.25092115,46.3294031,46.33382461,46.39830508,46.49042004,46.48670965,,
Bahrain,Agricultural land (% of land area),14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,13.94366197,13.78873239,13.64788732,13.30555556,12.98630137,12.66216216,12.52702703,12.21333333,11.92105263,11.77631579,11.61417323,11.39504563,11.22077922,11.07792208,10.93385214,10.6940874,10.55198973,10.3974359,10.41131105,10.38461538,10.31847134,10.25316456,,
"Bahamas, The",Agricultural land (% of land area),0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,,
Bosnia and Herzegovina,Agricultural land (% of land area),35.676307305828196,35.71412071829515,35.86202647126872,35.95832467940969,36.03382189138767,36.1271796881718,36.16045761944053,36.23395498573568,36.28505116707489,36.22354576543172,36.2131956874185,36.3081521670793,36.40901968733921,36.409959073898676,36.351380988110144,36.405042428678414,36.511671995484576,36.6092387234141,36.66138601976212,36.731250519004405,36.79733564327313,36.845718422079294,36.83447451904405,36.977187023731275,37.045419916859025,37.08319639845374,37.17568044784141,37.263316862784144,37.23240737522467,37.165182638259914,36.83101538157575,42.96875,42.7734375,42.578125,42.48046875,42.3828125,42.28515625,42.1875,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109375,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125,43.515625,43.18359375,43.28125,43.7890625,44.19921875,,
Belarus,Agricultural land (% of land area),35.676307305828196,35.71412071829515,35.86202647126872,35.95832467940969,36.03382189138767,36.1271796881718,36.16045761944053,36.23395498573568,36.28505116707489,36.22354576543172,36.2131956874185,36.3081521670793,36.40901968733921,36.409959073898676,36.351380988110144,36.405042428678414,36.511671995484576,36.6092387234141,36.66138601976212,36.731250519004405,36.79733564327313,36.845718422079294,36.83447451904405,36.977187023731275,37.045419916859025,37.08319639845374,37.17568044784141,37.263316862784144,37.23240737522467,37.165182638259914,36.83101538157575,46.27749744,46.10334562,46.06709451,46.03486011,46.00845929,45.87513248,45.88594333,45.75640299,45.61050639,45.0000986,44.4956096,44.3039847,44.16340014,44.12003964,44.14895714,43.94261241,43.94732432,43.99747656,43.85368306,43.73860332,43.35161829,42.93177203,42.48791711,42.24201638,42.03548978,41.84483812,41.64449699,41.32239549,40.79712287,40.27593003,,
