country_name,cities_count,avg_aqi,min_aqi,max_aqi,std_aqi,avg_co_aqi,avg_ozone_aqi,avg_no2_aqi,avg_pm25_aqi
Tunisia,44,70.91,31,167,28.89,1.11,53.05,1.75,58.7
Turkey,241,51.67,26,121,15.06,0.9,40.55,0.35,45.71
Turkmenistan,18,104.72,55,163,33.3,1.0,42.67,0.33,104.72
Uganda,63,85.32,39,180,33.49,2.65,20.25,0.68,85.32
Ukraine,219,51.05,34,106,14.0,1.0,37.95,0.68,43.68
United Arab Emirates,3,163.67,152,170,10.12,1.33,159.67,3.33,152.67
United Kingdom,400,39.52,23,78,11.3,0.72,27.63,3.47,35.99
United States,2872,59.74,12,500,22.82,1.46,27.62,8.54,58.05
Uruguay,26,26.65,11,52,10.87,0.19,18.96,0.85,21.69
Uzbekistan,58,119.09,60,300,40.95,1.03,47.79,2.6,118.09
Vanuatu,1,30.0,30,30,,0.0,25.0,0.0,30.0
Venezuela (Bolivarian Republic of),90,77.72,27,165,38.96,1.28,17.52,3.87,77.72
Viet Nam,60,87.05,21,194,47.3,2.37,46.23,2.63,82.48
Yemen,7,144.57,81,179,30.18,1.29,55.43,0.71,144.57
Zambia,42,40.67,19,125,18.98,0.69,20.19,0.1,39.95
Zimbabwe,27,43.74,17,93,17.26,1.3,18.07,0.44,42.74
