Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cote d'Ivoire,Renewable electricity output (% of total electricity output),66.66666667,69.01485966,56.64864865,50.2285192,49.72469293,60.53613845,54.6961326,46.61374349,34.23669816,36.412705,36.75,36.84749232,32.65961466,36.01336741,33.66606171,27.23112128,28.68258179,33.95489256,34.75862069,37.5234202,28.28164292,30.13608788,26.4395667,21.88235294,23.93193338,16.72597865
Cameroon,Renewable electricity output (% of total electricity output),98.47979236,98.56088561,98.72122762,98.94067797,98.82352941,98.85098743,98.86246122,98.84910486,98.35858586,98.75592417,98.90804598,98.10787913,96.42424242,95.76547231,95.37712895,94.20579421,88.81707795,74.82357429,75.8493223,70.67266125,73.21579929,75.29133592,75.36507937,75.33575318,75.32509753,76.11719444
"Congo, Dem. Rep.",Renewable electricity output (% of total electricity output),99.55752212,99.58341223,99.6871398,99.69341749,99.66114458,99.70859641,99.70535276,99.62324013,99.59813875,99.54768187,99.94984955,99.91613552,99.86885246,99.88612331,99.88676575,99.90507187,99.39016307,98.89621923,98.7150616,98.90501655,98.91208096,98.88593493,99.88176563,99.89101477,99.87556561,99.82106911
"Congo, Rep.",Renewable electricity output (% of total electricity output),99.39148073,100,99.06542056,99.17127072,99.38271605,99.43502825,99.56331878,99.5584989,99.41860465,85.58558559,99.66216216,100,100,85.71428571,83.12342569,81.98614319,82.1192053,82.30958231,81.34490239,61.2244898,54.71938776,61.17556071,58.05882353,56.81685196,54.71264368,53.34486736
Colombia,Renewable electricity output (% of total electricity output),76.38419011,75.68261692,68.66500729,73.25397443,78.49259823,76.4046259,82.99202066,71.64443448,69.74630822,79.86081921,75.52463768,74.33819806,76.50415168,78.788595,81.65087793,80.16965652,80.60076258,81.53339128,84.01086918,72.87791562,72.12069198,83.46528973,79.5501941,73.99867546,74.03831068,68.23681122
Comoros,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Renewable electricity output (% of total electricity output),0,0,0,2.857142857,6.801007557,7.56302521,8.059023837,7.725321888,7.480314961,6.650750341,5.395437782,3.889191314,3.107329124,2.689706987,2.925253628,2.72083017,2.953084068,2.548881386,1.921199442,1.505702931,1.182578598,6.722666083,18.36674843,20.55760334,17.29165138,20.20849659
Costa Rica,Renewable electricity output (% of total electricity output),97.52018454,94.8757764,82.83794788,89.92263844,90.1465798,82.74943659,90.71220325,96.9524149,91.85294661,97.84719974,99.14727562,98.51742031,98.37873754,97.89346572,99.1965916,96.71912833,93.87144993,92.02209945,92.85412708,95.15574651,93.31107169,91.22253865,91.84195007,88.31460674,89.79152393,99.00110988
Caribbean small states,Renewable electricity output (% of total electricity output),3.160281772,2.430221367,2.372794488,2.63523829,2.825307398,3.205472904,3.522179055,3.46285699,2.950568579,2.870737352,8.666853368,8.111429697,7.503329706,6.436429524,6.494614757,5.763818571,7.427941465,8.156859147,9.732251718,9.791246881,9.290895207,9.136455516,9.400621209,9.249508368,9.269233533,8.914779554
Cuba,Renewable electricity output (% of total electricity output),10.25026624,10.33441534,12.28982493,8.807489547,7.906393648,6.132113332,7.683590209,7.069136152,6.191687871,6.789953078,6.872006386,6.569056801,6.656474935,5.363693865,5.609568888,3.180810846,3.036007044,3.046981389,3.970812829,3.924664486,3.241938265,3.226351351,3.711743,4.352142111,4.017349995,3.948146688
Curacao,Renewable electricity output (% of total electricity output),0,0,0,0.880088009,0.823892894,0.792864222,0.784313725,0.765550239,0.720072007,0.718778077,0.713648528,2.922374429,2.789886661,2.709568163,2.644628099,2.564102564,2.6272578,2.547770701,2.576489533,2.465331279,2.418745276,2.41509434,3.489640131,3.539823009,3.591470258,3.712296984
Cayman Islands,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022846699,0.021496131,0.061588996,0.295333727,0.594439118,1.371664788,3.611280179,5.448378206,7.622377622,7.287356322,8.780057357
Czechia,Renewable electricity output (% of total electricity output),1.864431276,1.806030051,2.373977683,2.608517748,3.050232064,3.973586463,3.542610031,3.414983571,3.068519436,3.675244315,3.132586304,3.471455128,3.944996381,2.26888524,3.271273422,3.822728882,4.207808353,3.88541999,4.47926046,5.70119561,6.918135784,8.352539873,9.303586466,10.82341178,10.77841497,11.40457054
Germany,Renewable electricity output (% of total electricity output),3.486350771,3.168752543,3.697964293,3.927370442,4.461686389,4.866989231,4.821397117,4.208309687,4.508169269,5.197223756,6.198531223,6.512444018,7.642700282,7.552977702,9.267474493,10.15021111,11.32201311,13.93800806,14.6992339,16.07855368,16.72707367,20.38328272,23.00045854,24.07254975,26.13009657,29.23177012
